Provinsi,Jumlah penduduk perprovinsi 2020,Jumlah penduduk perprovinsi 2021
Aceh,5274.9,5333.7
Bali,4317.4,4362.7
Bangka Belitung,1455.7,1473.2
Banten,11904.6,12061.5
Bengkulu,2010.7,2032.9
DI Yogyakarta,3668.7,3712.9
DKI Jakarta,10562.1,10609.7
Gorontalo,1171.7,1181.
Indonesia,270203.9,272682.5
Jambi,3548.2,3585.1
Jawa Barat,48274.2,48782.4
Jawa Tengah,36516.,36742.5
Jawa Timur,40665.7,40878.8
Kalimantan Barat,5414.4,5470.8
Kalimantan Selatan,4073.6,4122.6
Kalimantan Tengah,2670.,2702.2
Kalimantan Timur,3766.,3808.2
Kalimantan Utara,701.8,713.6
Kepulauan Riau,2064.6,2118.2
Lampung,9007.8,9081.8
Maluku,1848.9,1862.6
Maluku Utara,1282.9,1299.2
Nusa Tenggara Barat,5320.1,5390.
Nusa Tenggara Timur,5325.6,5387.7
Papua,4303.7,4355.5
Papua Barat,1134.1,1156.8
Riau,6394.1,6493.6
Sulawesi Barat,1419.2,1436.8
Sulawesi Selatan,9073.5,9139.5
Sulawesi Tengah,2985.7,3021.9
Sulawesi Tenggara,2624.9,2659.2
Sulawesi Utara,2621.9,2638.6
Sumatera Barat,5534.5,5580.2
Sumatera Selatan,8467.4,8550.9
Sumatera Utara,14799.4,14936.2
