site,title,company,location,description,"Jumlah Perguruan Tinggi di Bawah Kementerian Riset, Teknologi dan Pendidikan Tinggi","Jumlah Mahasiswa di Bawah Kementerian Riset, Teknologi dan Pendidikan Tinggi",Jumlah lulusan sarjana 2020,Jumlah lulusan sarjana 2021,Persentase lulusan SMA/SMK 2020,Persentase lulusan SMA/SMK 2021,Jumlah penduduk perprovinsi 2020,Jumlah penduduk perprovinsi 2021,Persentase pengangguran 2020,Persentase pengangguran 2021
indeed,Data Scientist,NielsenIQ,DKI Jakarta,"Working knowledge with data visualization tools (e.g. Spotfire, Tableau, etc) and mapping tools. These professionals drive innovation, new product ideation,…",276.0,701366.0,178329.0,182960.0,85.67,53.73,10562.1,10609.7,10.95,8.5
indeed,Scientist,DELOS Aqua,DKI Jakarta,"Support in ensuring data quality is consistent, relevant, and representative of the problems you own. You will be working with a data and a farming team, proven…",276.0,701366.0,178329.0,182960.0,85.67,53.73,10562.1,10609.7,10.95,8.5
indeed,Data Scientist,Techtiera Services Indonesia,DKI Jakarta,"Collaborate with the development team and data engineers to understand and utilizing relevant data sources, as well as assisting in pipeline development data…",276.0,701366.0,178329.0,182960.0,85.67,53.73,10562.1,10609.7,10.95,8.5
indeed,Data Scientist,PGI Data,DKI Jakarta,Excellent understanding of machine learning techniques and algorithms and experience with common data science toolkits.,276.0,701366.0,178329.0,182960.0,85.67,53.73,10562.1,10609.7,10.95,8.5
indeed,Data Scientist,Pro Sigmaka,DKI Jakarta,"Collaborate with the development team and data engineers to understand and utilize relevant data sources, and assist in developing data workflows (data…",276.0,701366.0,178329.0,182960.0,85.67,53.73,10562.1,10609.7,10.95,8.5
indeed,Data Scientist,Algoritma,DKI Jakarta,"Experience in data analysis, data mining, and machine learning projects will be a plus. Contribute to developing Algoritma educational content in data science…",276.0,701366.0,178329.0,182960.0,85.67,53.73,10562.1,10609.7,10.95,8.5
indeed,Data Scientist,byOrange,DKI Jakarta,"As a data scientist, you will play a vital role in analyzing complex data sets, developing machine learning models, and providing actionable insights to drive…",276.0,701366.0,178329.0,182960.0,85.67,53.73,10562.1,10609.7,10.95,8.5
indeed,Data Scientist,VLink Inc,DKI Jakarta,"Experience using statistical computer languages (R, Python, Spark, SQL, etc.) to manipulate data and draw insights from large data sets.",276.0,701366.0,178329.0,182960.0,85.67,53.73,10562.1,10609.7,10.95,8.5
indeed,Python Developer,Permana Solutions,DKI Jakarta,"Collaborate closely with data scientists to implement predictive models. Develop and maintain robust data pipelines to collect, manipulate, and analyze large…",276.0,701366.0,178329.0,182960.0,85.67,53.73,10562.1,10609.7,10.95,8.5
indeed,Data Scientist,Tokopedia,DKI Jakarta,Implement data science algorithms from research papers with guidance from lead data scientists. Collaborate with team members from data science and other teams…,276.0,701366.0,178329.0,182960.0,85.67,53.73,10562.1,10609.7,10.95,8.5
indeed,Data Engineer,Mekari (PT. Mid Solusi Nusantara),DKI Jakarta,"Collaborate with data analysts, data scientists, and business process owners in order to provide them with needed data and infrastructure.",276.0,701366.0,178329.0,182960.0,85.67,53.73,10562.1,10609.7,10.95,8.5
indeed,Data Scientist,PT Asuransi Allianz Life Indonesia,DKI Jakarta,"Having a good knowledge Big data platforms (Hadoop, MapR or others) analytical and planning skills. Advocate, evangelize and build analytics that help business…",276.0,701366.0,178329.0,182960.0,85.67,53.73,10562.1,10609.7,10.95,8.5
indeed,Data Scientist,PT Astra Digital Mobil (mobbi),DKI Jakarta,"Collaborate with the development team and data engineers to understand and leverage relevant data sources, as well as assist in the development of data…",276.0,701366.0,178329.0,182960.0,85.67,53.73,10562.1,10609.7,10.95,8.5
indeed,Data Scientist,Dnalytics Consulting,DKI Jakarta,Capable to do data retrieval and pre-processing from various sources. Develop business and machine-learning model from data owned by the company and / or client…,276.0,701366.0,178329.0,182960.0,85.67,53.73,10562.1,10609.7,10.95,8.5
indeed,Data Engineer,Techtiera Services Indonesia,DKI Jakarta,"Collaborate with data scientists, analysts, and development teams for understand data requirements and provide solutions that enable analysis depth and…",276.0,701366.0,178329.0,182960.0,85.67,53.73,10562.1,10609.7,10.95,8.5
indeed,Data Scientist,Bukalapak,DKI Jakarta,Identifying potential growth opportunities through data exploration & analysis. Promoting self-service data driven culture within organisation.,276.0,701366.0,178329.0,182960.0,85.67,53.73,10562.1,10609.7,10.95,8.5
indeed,Data Scientist,Investree,DKI Jakarta,Extending company’s data with third party sources of information when needed. Enhancing data collection procedures to include information that is relevant for…,276.0,701366.0,178329.0,182960.0,85.67,53.73,10562.1,10609.7,10.95,8.5
indeed,Senior Data Scientist,indosat,DKI Jakarta,Identify valuable data sources that are relevant for analytics and undertake processing of structured and unstructured data.,276.0,701366.0,178329.0,182960.0,85.67,53.73,10562.1,10609.7,10.95,8.5
indeed,Senior Data Scientist,Tokopedia,DKI Jakarta,Implement data science algorithms from research papers with guidance from lead data scientists. Collaborate with team members from data science and other teams…,276.0,701366.0,178329.0,182960.0,85.67,53.73,10562.1,10609.7,10.95,8.5
indeed,Data Scientist,Shopee,DKI Jakarta,"Prototyping, developing, and deploying advanced analytics data models and machine learning solutions. The Business Intelligence and Data Analytics team plays a…",276.0,701366.0,178329.0,182960.0,85.67,53.73,10562.1,10609.7,10.95,8.5
indeed,Data Scientist,WeNetwork Asia,DKI Jakarta,"The data scientist is responsible for the data, analytics, and insights that drive the squad from ideation to learnings.",276.0,701366.0,178329.0,182960.0,85.67,53.73,10562.1,10609.7,10.95,8.5
indeed,Data Scientist,Mitraplus,DKI Jakarta,Akuisisi dan mengolah data dari berbagai sumber. Membuat model dari data yang dimiliki oleh perusahaan dan / atau klien.,276.0,701366.0,178329.0,182960.0,85.67,53.73,10562.1,10609.7,10.95,8.5
indeed,Data Scientist,ABeam Consulting Indonesia,DKI Jakarta,Extract data from several data sources with scratch SQL queries and cleanse the data from the statistical perspective. Power Pivot and VBA experience a plus.,276.0,701366.0,178329.0,182960.0,85.67,53.73,10562.1,10609.7,10.95,8.5
indeed,Data Engineer,Dentsu Aegis Network,DKI Jakarta,Creates data tools for analytics and data scientist team members that assist them in building and optimising our product into an innovative industry leader.,276.0,701366.0,178329.0,182960.0,85.67,53.73,10562.1,10609.7,10.95,8.5
indeed,Human Resources Intern,Worley,DKI Jakarta,Scanning and uploading documents shared drive. Create a master list of all contracts with their start dates and end dates.,276.0,701366.0,178329.0,182960.0,85.67,53.73,10562.1,10609.7,10.95,8.5
indeed,Senior Data Scientist,Dnalytics,DKI Jakarta,Good understanding of CS fundamentals e.g. algorithms and data structures. Professional/Trade Qualification Commercial experience solving high impact business…,276.0,701366.0,178329.0,182960.0,85.67,53.73,10562.1,10609.7,10.95,8.5
indeed,Data Analyst,Tokopedia,DKI Jakarta,Strong data wrangling and data manipulation in R/ Python. Produce data visualization with a strong storytelling element.,276.0,701366.0,178329.0,182960.0,85.67,53.73,10562.1,10609.7,10.95,8.5
indeed,Data Scientist,Amartha,DKI Jakarta,Skill in presenting data insights through effective data visualizations. Create effective data visualizations to present insights from data succinctly.,276.0,701366.0,178329.0,182960.0,85.67,53.73,10562.1,10609.7,10.95,8.5
indeed,Data Scientist,Moladin,DKI Jakarta,Explore alternative data to enhance the scorecard model performance on top of traditional credit data. Min. 2+ years experience in financial service data…,276.0,701366.0,178329.0,182960.0,85.67,53.73,10562.1,10609.7,10.95,8.5
indeed,Data Scientist,FrieslandCampina,DKI Jakarta,6+ years working experience and relevant track record working in dynamic environments of which at least 3 years of experience working as a data scientist or…,276.0,701366.0,178329.0,182960.0,85.67,53.73,10562.1,10609.7,10.95,8.5
indeed,Data Scientist,Luminare Consulting,DKI Jakarta,"Experience in statistical modelling, machine learning, data mining, unstructured data analytics, natural language processing. An Engineering Degree - B.E/B.",276.0,701366.0,178329.0,182960.0,85.67,53.73,10562.1,10609.7,10.95,8.5
indeed,Data Scientist,Cybertrend Intrabuana,DKI Jakarta,Ability to communicate with business user to capture business data needs. Test data mining models to select the most appropriate ones for use on a project.,276.0,701366.0,178329.0,182960.0,85.67,53.73,10562.1,10609.7,10.95,8.5
indeed,Data Engineer,VLink Inc,DKI Jakarta,"Preparing raw data for manipulation by data scientists. Bachelor's degree in data engineering, big data analytics, computer engineering, or related field.",276.0,701366.0,178329.0,182960.0,85.67,53.73,10562.1,10609.7,10.95,8.5
indeed,Data Engineer,PT Astra Digital Mobil (mobbi),DKI Jakarta,"Collaborate with data scientists, analysts and development teams to understand data needs and provide solutions that enable deep analysis and application of…",276.0,701366.0,178329.0,182960.0,85.67,53.73,10562.1,10609.7,10.95,8.5
indeed,Consulting Analyst,McKinsey & Company,DKI Jakarta,"You’ll work in teams of typically 3 - 5 consultants, playing an active role in all aspects of the client engagement. Outstanding record of academic achievement.",276.0,701366.0,178329.0,182960.0,85.67,53.73,10562.1,10609.7,10.95,8.5
indeed,Growth Marketer,indosat,DKI Jakarta,Proficient in doing data analysis independently (e.g using SQL to extract data. Ability to use data to inform hypotheses that lead to high impact experiments.,276.0,701366.0,178329.0,182960.0,85.67,53.73,10562.1,10609.7,10.95,8.5
indeed,Data Scientist,Humana International,DKI Jakarta,"Managing a team of data scientists, machine learning engineers and big data specialists. Ensure data quality and integrity. Interpret and analyze data problems.",276.0,701366.0,178329.0,182960.0,85.67,53.73,10562.1,10609.7,10.95,8.5
indeed,Data Engineer,VLink Inc,DKI Jakarta,"Preparing raw data for manipulation by data scientists. Bachelor's degree in data engineering, big data analytics, computer engineering, or related field.",276.0,701366.0,178329.0,182960.0,85.67,53.73,10562.1,10609.7,10.95,8.5
indeed,Data Engineer,99.co,DKI Jakarta,"Collaborate seamlessly with interdisciplinary teams, including data scientists, analysts, and product managers, to develop data products for product needs, and…",276.0,701366.0,178329.0,182960.0,85.67,53.73,10562.1,10609.7,10.95,8.5
linkedin,Senior Data Scientist,All Data International,DKI Jakarta,"ResponsibilitiesIdentifying potential growth opportunities through data exploration & analysisCollaboratively work with stakeholders to define problems and to provide actionable insight based on data-driven approachedPromoting self-service data driven culture within organizationDeveloping scalable data products (predictive model, analytics dashboard, etc.) that drives businesses/products growthDesigning controlled experiment to determine incremental effect of business & products initiativesBeing a lead and Data Science decision-maker for junior and middle Data Scientist in a projectQualificationsBachelor/Master DegreeAt least 5 years of experience in Data Science or AnalyticsExperienced in translating business to data science problem, and performing online experiments to validate the hypothesisImplemented analytical or Machine Learning model to production, which are run on a periodic basis to solve specific business use caseExperienced in crafting raw or tabular data into insights and presenting it to the stakeholders via means of compelling data visualizationsExperienced in collaborating with various data-related roles in the organization to solve business use case, e.g., with Data Engineer, Data Analyst, Product/Project ManagerExcellent programming skills in Python and Data Science related package on it, such as pandas, numpy, scikit-learnExperienced with linear-programming is preferredAvailable to work on-site in Jakarta",276.0,701366.0,178329.0,182960.0,85.67,53.73,10562.1,10609.7,10.95,8.5
