Provinsi,Jumlah lulusan sarjana 2020,Jumlah lulusan sarjana 2021
DKI Jakarta,178.329,182.960
Jawa Barat,192.643,207.165
Banten,114.223,140.689
Jawa Tengah,142.173,145.885
DI Yogyakarta,88.065,88.460
Jawa Timur,227.694,237.335
Aceh,32.118,32.895
Sumatera Utara,77.13,80.358
Sumatera Barat,45.666,46.468
Riau,33.425,33.685
Kepulauan Riau,8.213,8.633
Jambi,13.336,13.458
Sumatera Selatan,34.317,40.935
Bangka Belitung,2.856,3.008
Bengkulu,13.196,12.152
Lampung,28.747,31.582
Kalimantan Barat,21.209,20.916
Kalimantan Tengah,8.237,8.987
Kalimantan Selatan,23.994,26.094
Kalimantan Timur,20.188,18.793
Kalimantan Utara,2.131,1.975
Sulawesi Utara,17.001,17.755
Gorontalo,6.938,8.311
Sulawesi Tengah,12.043,12.951
Sulawesi Selatan,75.328,80.922
Sulawesi Barat,2.973,3.494
Sulawesi Tenggara,11.738,15.758
Maluku,7.521,7.449
Maluku Utara,5.686,6.305
Bali,31.288,35.992
Nusa Tenggara Barat,21.31,22.522
Nusa Tenggara Timur,20.823,19.194
Papua,8.927,9.647
Papua Barat,5.608,6.307
Indonesia,1.535.074,1.629.040
