Provinsi,Persentase lulusan SMA/SMK 2020,Persentase lulusan SMA/SMK 2021
Aceh,"70,07","74,36"
Bali,"74,88","75,86"
Bangka Belitung,"56,74","66,9"
Banten,"64,24","62,46"
Bengkulu,"62,73","90,12"
DI Yogyakarta,"87,99","84,98"
DKI Jakarta,"85,67","53,73"
Gorontalo,"55,35","65,94"
Indonesia,"63,95","64,51"
Jambi,"63,66","64,89"
Jawa Barat,"63,56","59,9"
Jawa Tengah,"55,82","66,33"
Jawa Timur,"63,53","54,27"
Kalimantan Barat,"55,23","63,59"
Kalimantan Selatan,"63,05","61,04"
Kalimantan Tengah,"60,77","74,26"
Kalimantan Timur,"71,63","62,3"
Kalimantan Utara,"67,77","63,98"
Kepulauan Riau,"78,65","81,07"
Lampung,"57,59","60,09"
Maluku,"70,55","68,12"
Maluku Utara,"66,52","66,95"
Nusa Tenggara Barat,"64,66","65,71"
Nusa Tenggara Timur,"50,65","44,88"
Papua,"30,92","32,95"
Papua Barat,"61,49","59,08"
Riau,"66,62","68,94"
Sulawesi Barat,"56,6","56,22"
Sulawesi Selatan,"66,22","69,43"
Sulawesi Tengah,"57,68","61,16"
Sulawesi Tenggara,"68,28","70,65"
Sulawesi Utara,"73,79","68,56"
Sumatera Barat,"67,11","70,06"
Sumatera Selatan,"65,42","67,2"
Sumatera Utara,"70,39","72,81"
