job_url,site,title,company,location,job_type,date_posted,interval,min_amount,max_amount,currency,is_remote,num_urgent_words,benefits,emails,description
https://id.indeed.com/viewjob?jk=a46741a7d07552a0,indeed,Android Developer,Apotek K 24,"Yogyakarta, YO, Indonesia",,2023-10-04,,,,,False,0,,,Designing and building mobile applications for Android platform. Ensuring quality and performance of application to specifications.
https://id.indeed.com/viewjob?jk=9c210e0be492154b,indeed,Android Developer,Humana International,Indonesia,,2023-01-12,,,,,False,0,,,"Experienced in making android applications using Java/Kotlin, SQLite. Experienced with Google Service(Firebase,Analytics,Firebase) and Facebook SDK."
https://id.indeed.com/viewjob?jk=f3fb0dd5fee33583,indeed,Android Developer,ITommey Bintang Indonesia,"Jakarta, JK, Indonesia",fulltime,2023-09-12,monthly,5000000,7000000,IDR,False,0,,,Minimum 1 Years experience in android development with Kotlin. Bachelor Degree OF Computer Science is A Must. has experience with MVP/MVVM Architecture.
https://id.indeed.com/viewjob?jk=116ef86b078ce876,indeed,Android Developer,Mekari (PT. Mid Solusi Nusantara),"Jakarta, JK, Indonesia",,2022-02-16,,,,,False,0,,,"Familiarity with using Android Studio profiler tools for debugging, profiling android apps. Extensive programming experience in Kotlin programming language …"
https://id.indeed.com/viewjob?jk=a1294ede29a51ecf,indeed,Android Developer,PT INTI SOLUSI DINAMIS,"Depok, JB, Indonesia",fulltime,2023-09-20,monthly,2500000,3000000,IDR,False,0,,,"Pernah mengembangkan aplikasi android menggunakan framework atau native. Memliki kemampuan design UI yang baik. Job Types: Full-time, Fresh graduate."
https://id.indeed.com/viewjob?jk=a3668e53f2ba7fd0,indeed,Android Developer,Farmers Market 99 Indonesia,"Jakarta, JK, Indonesia",fulltime,2023-08-29,,,,,False,0,,,"Cooperating with back-end developers, designers, and the rest of the team to deliver well-architected and high-quality solutions."
https://id.indeed.com/viewjob?jk=770f6dae2d1b00b6,indeed,Android Developer,Akar Inti Teknologi (AIT),Indonesia,fulltime,2022-02-04,,,,,False,0,,,"Collaborate with Back-End developers to integrate user-facing elements. Participate in the entire application lifecycle, focusing on coding and debugging."
https://id.indeed.com/viewjob?jk=65d078a8d23ca463,indeed,Android Developer,Humana International,"Jakarta, JK, Indonesia",,2023-01-21,,,,,False,0,,,"1 - 3 years work experience in the same field (IOS Developer). Well experienced in Java - Android Studio. Deep understanding about OOP, MVP & Clean Architecture…"
https://id.indeed.com/viewjob?jk=ab3fbd3c03d1cdc3,indeed,Android Developer,MSBU,"Jakarta, JK, Indonesia",contract,2023-10-28,monthly,0,15000000,IDR,False,,,,
https://id.indeed.com/viewjob?jk=e7712546b2094a6a,indeed,Android Developer,Diksha Technology Indonesia,"Jakarta, JK, Indonesia","temporary, fulltime, contract",2023-10-20,monthly,10000000,25000000,IDR,False,0,,,"Memiliki pengalaman dalam mendevelop aplikasi android dengan Kotlin, Android Jetpack, Retrofit2, Coroutines, Dependency Injection (eg: Dagger2)."
https://id.indeed.com/viewjob?jk=e324fdebc1bed2f1,indeed,Android Developer,Kompas.com,"Jakarta, JK, Indonesia",fulltime,2021-08-09,,,,,False,0,,,Bachelor’s degree in Computer Science (or equivalent degree or experience). 1+ years professional experience with Objective-C for iOS and or Android Frameworks.
https://id.indeed.com/viewjob?jk=e96ea161b08626aa,indeed,Android Developer,Techarea,"Semarang, JT, Indonesia",fulltime,2022-07-07,,,,,False,,,,
https://id.indeed.com/viewjob?jk=2d6018b2eb3d461e,indeed,Android Developer,seven light,"JB, Indonesia",,2023-02-03,,,,,False,0,,,"Pendidikan min SMK (Rekayasa Perangkat Lunak) / D3 Informatika. Mahasiswa tingkat akhir, Fresh graduate dipersilakan untuk melamar."
https://id.indeed.com/viewjob?jk=269ed971d837d518,indeed,Android Developer,SALT,"Jakarta, JK, Indonesia",fulltime,2023-08-24,monthly,8000000,-1,IDR,False,0,,,Bachelor degree of Information / System Engineering or related. Minimum >3 years experience as an Android Developer. Android Developer: 2 years (Preferred).
https://id.indeed.com/viewjob?jk=e1040d347830c1f2,indeed,Android Developer,PT Lawencon Internasional,"Jakarta, JK, Indonesia","fulltime, contract",2023-10-10,monthly,8000000,12000000,IDR,False,0,,,Monitor the application by fixing bugs and improving application performance regularly. Implement and be responsible for delivering and managing versions of…
https://id.indeed.com/viewjob?jk=14830be56994e001,indeed,Android Developer,Techtiera Services Indonesia,"Jakarta, JK, Indonesia",contract,2023-10-21,,,,,False,0,,,"Minimum of education: Bachelor's Degree (GPA : 3.00). Have minimum of 1-2 years of experiences. Tech used: Kotlin, Java, ReactNative, RxKotlin."
https://id.indeed.com/viewjob?jk=0154e67405af789f,indeed,Android Developer,Phintraco Consulting,"Jakarta, JK, Indonesia",,2023-01-10,,,,,False,0,,,"Translate designs and wireframes into high-quality code. Design, build, and maintain high performance, reusable and reliable Java code."
https://id.indeed.com/viewjob?jk=f96e9ff01b817d82,indeed,Android Developer,Technology & Information COMPANY,"Jakarta, JK, Indonesia","fulltime, contract",2023-10-23,,,,,False,0,,,"At least 1 year of experience as a Native Android Developer (Java). Experienced in using Android Development Tools (Android Studio, API, Android SDK, GIT)."
https://id.indeed.com/viewjob?jk=1a6140277bf8e9c4,indeed,Android Developer,Humana International,"Jakarta, JK, Indonesia",,2022-11-11,,,,,False,0,,,"Will be working along-side product manager, analyst and developers working on different layers of the infrastructure."
https://id.indeed.com/viewjob?jk=b0e036393009a9e3,indeed,Android Developer,Aleph Labs,"Jakarta, JK, Indonesia",,2023-10-09,,,,,False,0,,,"Collaborate with cross-functional teams to define, design, and ship new features. Be responsible for designing, implementing, unit testing, code reviewing in…"
https://id.indeed.com/viewjob?jk=08933b3131593d24,indeed,Android Developer,KinerjaPay Corp.,"Jakarta, JK, Indonesia",fulltime,2021-07-27,,,,,False,0,,,"Manage the full technical life-cycle during each development phase. Collaborate with team to brainstorm about new products, provide each other with technical…"
https://id.indeed.com/viewjob?jk=b9b7deeeb544fbe6,indeed,Android Developer,Vodjo Teknologi Indonesia,"Bandung, JB, Indonesia",,2023-03-30,,,,,False,0,,,"You will be working along-side developers working on different layers of the infrastructure. Strong knowledge of Android SDK, different versions of Android, and…"
https://id.indeed.com/viewjob?jk=1fe465f71cb35d37,indeed,Android Developer,Lawencon International,"Jakarta, JK, Indonesia",fulltime,2022-11-18,,,,,False,0,,,"Collaborate with cross-functional teams to define, design, and ship new features. Work with outside data sources and APIs."
https://id.indeed.com/viewjob?jk=c2cab9450e5b965a,indeed,Android Developer,GESTALT CENTER,"Bandung, JB, Indonesia",fulltime,2023-10-20,,,,,False,0,,,"Mengerjakan projek mobile developer: 1 tahun (Diutamakan). Memiliki pengetahuan MySQL, konsep OOP, Nodejs, PHP dan REST API."
