job_url,site,title,company,location,job_type,date_posted,interval,min_amount,max_amount,currency,is_remote,num_urgent_words,benefits,emails,description
https://id.indeed.com/viewjob?jk=79d17bf6dc7fea08,indeed,Data Engineer,Mekari (PT. Mid Solusi Nusantara),"Jakarta, JK, Indonesia",,2023-11-01,,,,,False,0,,,"Analyze data from a large number and variety of data sources. Collaborate with data analysts, data scientists, and business process owners in order to provide…"
https://id.indeed.com/viewjob?jk=047419833b653f38,indeed,Machine Learning Engineer,Kompas Gramedia,"Jakarta, JK, Indonesia",fulltime,2023-11-01,,,,,False,0,,,"Design and develop machine learning models for business purposes. Design and develop a robust pipeline for the models. Experienced in using Go, python and SQL."
https://id.indeed.com/viewjob?jk=38f5b80432eb0b5c,indeed,Data Engineer,Kompas Gramedia,"Jakarta, JK, Indonesia",fulltime,2023-11-07,,,,,False,0,,,"Design and manage data warehouse plan for a product, such as: design data model, define data metric, data governance and so on;"
https://id.indeed.com/viewjob?jk=a87dfb6f4175c943,indeed,Support Engineer,PT Dua Empat Tujuh,"Jakarta, JK, Indonesia",contract,2023-09-12,monthly,4000000,8000000,IDR,False,0,,,Monitors system services 7 x 24. Hands-on with command-line (cmd/powershell/cli). Familiar with database system - SQL/NoSQL. Can work under minimum supervision.
https://id.indeed.com/viewjob?jk=5d033b986c96b34e,indeed,Data Engineer,Techtiera Services Indonesia,"Jakarta, JK, Indonesia",fulltime,2023-09-16,monthly,12000000,-1,IDR,False,0,,,"Build and manage data workflows (data pipelines) to flow data efficiently from source to destination, so that relevant information can be accessed and quickly…"
https://id.indeed.com/viewjob?jk=e0c6d9c6938a91fe,indeed,Data Engineer,PT. Dwidata Talenta Prima,"Tangerang, BT, Indonesia",fulltime,2023-11-01,monthly,0,5000000,IDR,False,0,,,Tertarik dengan database/big data. ID* sedang membuka bootcamp Data Engineer. Fresh graduate/Entry level silakan untuk join.
https://id.indeed.com/viewjob?jk=6cefca6b4fea7926,indeed,Software Engineer,Samsung Electronics,"Jakarta, JK, Indonesia",fulltime,2023-08-29,,,,,False,0,,,"Implement data pipeline to summarize recommendation result. Strong understanding logic, algorithm and data structure concepts."
https://id.indeed.com/viewjob?jk=a1afdc090ec18b94,indeed,Data Engineer,Revalue Nature,Indonesia,,2023-11-06,,,,,False,0,,,"Collaborate with data scientists, analysts, engineers, and other stakeholders to understand data needs and provide appropriate solutions."
https://id.indeed.com/viewjob?jk=43086bfab5d22ba2,indeed,Data Engineer,PT Global Urban Esensial,"Tangerang, BT, Indonesia",fulltime,2023-07-17,,,,,False,0,,,"Familiarity in Pyspark / Scala data lake & data warehouse development. Deliver data sourcing approach and datasets for analysis, with activities including data…"
https://id.indeed.com/viewjob?jk=1f9b56a5146273c4,indeed,Data Engineer,Dentsu Aegis Network,"Jakarta, JK, Indonesia",fulltime,2023-10-03,,,,,False,0,,,"The Data Engineer works with the business’s software engineers, data analytics teams, data scientists and data warehouse engineers in order to understand and…"
https://id.indeed.com/viewjob?jk=1d48f7bac197129b,indeed,Data Engineer,Garena,"Jakarta, JK, Indonesia",,2023-10-23,,,,,False,0,,,"This includes querying data from various sources, transforming and cleaning data, and loading data into a data visualization tool (e.g., Metabase) for analysis…"
https://id.indeed.com/viewjob?jk=0241177ef9c0e825,indeed,Data Engineer,OGYA,"Tangerang, BT, Indonesia",fulltime,2023-10-17,,,,,False,0,,,Memastikan validasi dan sumber data yang diperoleh. Mengumpulkan informasi atau data yang penting bagi kebutuhan perusahaan.
https://id.indeed.com/viewjob?jk=b9267a89a49eabb0,indeed,Data Engineer,Talentvis,Indonesia,contract,2022-03-31,,,,,False,0,,,Define best practices for data migration and conversion. Models’ data structure from product needs to database tables. Able to speak/write in English.
https://id.indeed.com/viewjob?jk=948d3f6f741bb26b,indeed,Data Engineer,Tokopedia,"Jakarta, JK, Indonesia",fulltime,2023-06-20,,,,,False,0,,,Create conceptual models and data flow diagrams. Develop and maintain proper documentation for data pipeline and service.
https://id.indeed.com/viewjob?jk=3078fa2a0757201f,indeed,Data Engineer,Serasi Autoraya,"Jakarta, JK, Indonesia",fulltime,2023-10-25,,,,,False,0,,,"Perform data cleansing, data transformation, data warehouse development, and analysis services according to the solution plan."
https://id.indeed.com/viewjob?jk=46a8dbe3da9a762f,indeed,Data Engineer,Cloud Kinetics,"Jakarta, JK, Indonesia",fulltime,2023-01-21,,,,,False,0,,,"Design, implement and maintain robust/reliable data systems which comprise of extractions, loading data from a wide variety of data sources, data…"
https://id.indeed.com/viewjob?jk=be4bc5aed1c8dffa,indeed,Development Operations Engineer,PT Pronata Data Insani,"Jakarta, JK, Indonesia",fulltime,2023-10-16,monthly,8000000,12000000,IDR,False,0,,,Min Bachelor Degree of Computer Science or equivalent. Minimum 3 (three) years as DevOps Engineer/System Administrator and relevant knowledge regarding…
https://id.indeed.com/viewjob?jk=f05e6ab4a910c58a,indeed,Data Engineer,Permana Solutions,"Jakarta, JK, Indonesia",contract,2023-10-26,monthly,10000000,20000000,IDR,False,0,,,"Work closely with stakeholders to develop scalable and performant solutions for their data requirements, including extraction, transformation and loading of…"
