job_url,site,title,company,location,job_type,date_posted,interval,min_amount,max_amount,currency,is_remote,num_urgent_words,benefits,emails,description
https://id.indeed.com/viewjob?jk=bbd158fcfc8bc57c,indeed,Mobile Developer,Digital Art,"Tangerang, BT, Indonesia","fulltime, contract",2023-10-11,monthly,3500000,7000000,IDR,False,0,,,"Dapat mengembangkan semua hal yang berkaitan dengan teknologi mobile. Kami Digital Agency dengan kantor yang berlokasi di Alam Sutera Tangerang, membutuhkan…"
https://id.indeed.com/viewjob?jk=0c4296c3bb30f2f2,indeed,Mobile Developer,Digital Art,"Tangerang, BT, Indonesia",fulltime,2023-10-11,,,,,False,0,,,"Dapat mengembangkan semua hal yang berkaitan dengan teknologi mobile. Rajin, jujur dan memiliki tanggung jawab yang tinggi. Job Types: Full-time, Internship."
https://id.indeed.com/viewjob?jk=11cff4c236e2417e,indeed,Application Developer,DiMuto,"Jakarta, JK, Indonesia",fulltime,2023-11-07,monthly,10000000,12000000,IDR,False,0,,,"Familiarity with sqflite & offline-first app development. Develop new projects using Flutter. Troubleshoot, maintain and support existing Flutter projects."
https://id.indeed.com/viewjob?jk=34917f3caef50f08,indeed,Application Developer,INTERSYS OPTIMA NUSANTARA,"Jakarta, JK, Indonesia",,2023-09-21,,,,,False,0,,,"Research the given requirement, report any difficulties and suggest better approach to implement the required features. Training will be provided upon hiring."
https://id.indeed.com/viewjob?jk=a3668e53f2ba7fd0,indeed,Android Developer,Farmers Market 99 Indonesia,"Jakarta, JK, Indonesia",fulltime,2023-08-29,,,,,False,0,,,"Develop mobile App & Web in ReactNative. Cooperating with back-end developers, designers, and the rest of the team to deliver well-architected and high-quality…"
https://id.indeed.com/viewjob?jk=9f2dcd6118a3cab9,indeed,Mobile Developer,Techtiera Services Indonesia,"Jakarta, JK, Indonesia",contract,2023-10-02,monthly,0,14000000,IDR,False,0,,,"Have minimum 3 years of working experience as mobile developer. Develop and maintain iOS mobile applications for sales platforms used cars, with a focus on…"
https://id.indeed.com/viewjob?jk=a3ef94387c86702a,indeed,Application Developer,GerejaSoft,"Tangerang, BT, Indonesia",,2020-04-22,,,,,False,0,,,Having a good logic and analytic skill. > Blackberry & Android Programming : Java / WebWorks & Eclipse AND/OR. > iOS Programming : Objective-C & XCode.
https://id.indeed.com/viewjob?jk=2997e09be9d9468a,indeed,Application Developer,PT Astra Digital Mobil (mobbi),"Jakarta, JK, Indonesia",fulltime,2023-08-24,,,,,False,0,,,"At least 7 years of overall work experience in developing iOS mobile applications. Proficient in using Programming Language (Java, Kotlin, Swift, Objective-C),…"
https://id.indeed.com/viewjob?jk=68c39caa3c533501,indeed,Mobile Developer,Xpert Digital Pvt Ltd,"Jakarta, JK, Indonesia",fulltime,2023-10-26,monthly,15000000,-1,IDR,False,0,,,Stay updated on mobile app development trends. Proven mobile app development experience of 4-5 years. Optimize app performance and security.
https://id.indeed.com/viewjob?jk=34b3d2ab28062e2d,indeed,Mobile Developer,Livit,"Jakarta, JK, Indonesia",,2023-09-29,,,,,False,0,,,Strong understanding of mobile app architecture and design patterns. Experience with mobile app performance optimization and debugging tools.
https://id.indeed.com/viewjob?jk=48e62582df2a8afb,indeed,Application Developer,BIPO Service Shanghai Limited,Indonesia,,2022-09-27,,,,,False,0,,,"Develop, enhance, and maintain the web/mobile app. Understand the business requirement based on request document. Estimate the time spent on each task given."
https://id.indeed.com/viewjob?jk=4417e5bcb54e331d,indeed,Mobile Developer,Inspiro,"Jakarta, JK, Indonesia",,2020-12-10,,,,,False,0,,,Developing application programming interfaces (APIs) to support mobile functionality. Working closely with colleagues to constantly innovate app functionality…
https://id.indeed.com/viewjob?jk=f289c279a47385dc,indeed,C++ Developer,Errai Pasifik,"Jakarta, JK, Indonesia",fulltime,2018-12-11,,,,,False,0,,,"You'll write a mobile application that constantly runs in the background without draining device resources. NET technologies, especially C++ .NET."
https://id.indeed.com/viewjob?jk=cacae37159b25d2c,indeed,Mobile Developer,Talentvis,Indonesia,contract,2022-07-08,,,,,False,0,,,I. Having experience for publish app in Google Play Store. B. Strong knowledge Android SDK & NDK. C. Familiar with RESTful APIs & JSON.
https://id.indeed.com/viewjob?jk=a46741a7d07552a0,indeed,Android Developer,Apotek K 24,"Yogyakarta, YO, Indonesia",,2023-10-04,,,,,False,0,,,Designing and building mobile applications for Android platform. Having experience in release app in Play Store. Fixing application bugs before final release.
https://id.indeed.com/viewjob?jk=29fa6e1c4ca77621,indeed,Mobile Developer,Ideku Technology Solution Pte Ltd,"Jakarta, JK, Indonesia",fulltime,2023-07-24,,,,,False,0,,,"Candidate must possess at least a Bachelor's Degree (S1), Engineering (Computer/Telecommunication), or equivalent. Have Experience using Kotlin Jetpack Compose."
https://id.indeed.com/viewjob?jk=4f2834681f73478d,indeed,Mobile Developer,PT YUBI TECHNOLOGY,"Jakarta, JK, Indonesia",fulltime,2023-08-21,monthly,5000000,7000000,IDR,False,0,,,"Memahami deployment app ke PlayStore, AppStore. Mengembangkan aplikasi berbasis Mobile (Android & iOS). Menganalisa sistem arsitektur dan menyediakan solusi…"
https://id.indeed.com/viewjob?jk=3263eafc18a3745c,indeed,Mobile Developer,Talentvis,Indonesia,fulltime,2021-04-30,,,,,False,0,,,"Support full app life-cycle: concept, design, build, deploy, test, release and support. Apr 30, 2021, 6:44:35 PM - 2 years ago."
https://id.indeed.com/viewjob?jk=f3bfda4802018ab0,indeed,Developer,Mitrais,Indonesia,,2019-01-01,,,,,False,0,,,Mobile app development experience is a plus. Integration of user-facing elements developed by front-end developers with server-side logic.
